,concept,session,run,subject_id,trial_id,stimulus
547,sea_urchin,1,5,1,398,sea_urchin_12s.jpg
548,seagull,1,6,1,446,seagull_12s.jpg
549,seesaw,1,4,1,314,seesaw_12s.jpg
550,sewing_kit,1,3,1,214,sewing_kit_12s.jpg
551,shaving_cream,1,7,1,529,shaving_cream_12s.jpg
552,sheep,1,10,1,816,sheep_12s.jpg
553,shell2,1,9,1,679,shell2_12s.jpg
554,shield,1,1,1,56,shield_12s.jpg
555,ship,1,3,1,192,ship_12s.jpg
556,shirt,1,1,1,7,shirt_12s.jpg
557,shoe,1,2,1,99,shoe_12s.jpg
558,shovel,1,1,1,39,shovel_12s.jpg
559,shower,1,9,1,696,shower_12s.jpg
560,shower_cap,1,9,1,714,shower_cap_12s.jpg
561,shredder,1,10,1,759,shredder_12s.jpg
562,shrimp,1,6,1,459,shrimp_12s.jpg
563,sickle,1,10,1,752,sickle_12s.jpg
564,silverware,1,5,1,388,silverware_12s.jpg
565,sim_card,1,10,1,792,sim_card_12s.jpg
566,sink,1,8,1,644,sink_12s.jpg
567,ski_pole,1,10,1,772,ski_pole_12s.jpg
568,skunk,1,7,1,566,skunk_12s.jpg
569,sleeping_bag,1,9,1,670,sleeping_bag_12s.jpg
570,slingshot,1,5,1,375,slingshot_12s.jpg
571,sloth,1,3,1,180,sloth_12s.jpg
572,smoke_alarm,1,8,1,621,smoke_alarm_12s.jpg
573,snail,1,10,1,796,snail_12s.jpg
574,snake,1,1,1,62,snake_12s.jpg
575,snorkel,1,3,1,243,snorkel_12s.jpg
576,snowboard,1,9,1,701,snowboard_12s.jpg
577,snowplow,1,8,1,593,snowplow_12s.jpg
578,sock,1,5,1,377,sock_12s.jpg
579,soda_fountain,1,3,1,229,soda_fountain_12s.jpg
580,solar_panel,1,3,1,199,solar_panel_12s.jpg
581,sombrero,1,2,1,161,sombrero_12s.jpg
582,sonogram,1,5,1,349,sonogram_12s.jpg
583,soy_sauce,1,8,1,591,soy_sauce_12s.jpg
584,space_shuttle,1,8,1,617,space_shuttle_12s.jpg
585,spareribs,1,6,1,433,spareribs_12s.jpg
586,spatula,1,1,1,2,spatula_12s.jpg
587,speaker,1,5,1,344,speaker_12s.jpg
588,spider,1,6,1,436,spider_12n.jpg
589,spinach,1,8,1,655,spinach_12s.jpg
590,spoon,1,3,1,235,spoon_12s.jpg
591,spout,1,6,1,485,spout_12s.jpg
592,sprinkler,1,10,1,769,sprinkler_12s.jpg
593,squeegee,1,1,1,46,squeegee_12n.jpg
594,squirrel,1,5,1,371,squirrel_12n.jpg
595,stair,1,7,1,558,stair_12s.jpg
596,stalagmite,1,5,1,348,stalagmite_12s.jpg
597,stamp2,1,9,1,660,stamp2_12s.jpg
598,stapler,1,1,1,66,stapler_12s.jpg
599,starfish,1,6,1,447,starfish_12s.jpg
600,steak,1,9,1,702,steak_12n.jpg
601,steamroller,1,2,1,91,steamroller_12s.jpg
602,stethoscope,1,7,1,563,stethoscope_12s.jpg
603,stiletto,1,5,1,352,stiletto_12s.jpg
604,stopwatch,1,10,1,760,stopwatch_12s.jpg
605,stove1,1,1,1,21,stove1_12s.jpg
606,strainer,1,2,1,150,strainer_12s.jpg
607,strawberry,1,8,1,610,strawberry_12n.jpg
608,streetlight,1,6,1,437,streetlight_12s.jpg
609,submarine,1,4,1,324,submarine_12s.jpg
610,subway,1,8,1,584,subway_12s.jpg
611,suit,1,2,1,118,suit_12s.jpg
612,sundae,1,4,1,292,sundae_12s.jpg
613,sundial,1,5,1,399,sundial_12s.jpg
614,sunroof,1,1,1,57,sunroof_12s.jpg
615,sushi,1,9,1,713,sushi_12s.jpg
616,suspenders,1,10,1,780,suspenders_12s.jpg
617,sweatsuit,1,1,1,60,sweatsuit_12s.jpg
618,sword,1,4,1,291,sword_12s.jpg
619,syringe,1,2,1,133,syringe_12s.jpg
620,syrup,1,8,1,609,syrup_12s.jpg
621,t-shirt,1,6,1,410,t-shirt_12s.jpg
622,tab,1,10,1,763,tab_12s.jpg
623,table,1,7,1,504,table_12s.jpg
624,tablecloth,1,9,1,730,tablecloth_12s.jpg
625,taco,1,3,1,179,taco_12n.jpg
626,tadpole,1,10,1,813,tadpole_12s.jpg
627,tag,1,10,1,798,tag_12s.jpg
628,taillight,1,9,1,695,taillight_12s.jpg
629,tamale,1,5,1,363,tamale_12s.jpg
630,tarp,1,4,1,302,tarp_12s.jpg
631,tattoo,1,9,1,736,tattoo_12s.jpg
632,teapot,1,1,1,47,teapot_12s.jpg
633,telescope,1,3,1,216,telescope_12s.jpg
634,television,1,2,1,101,television_12s.jpg
635,tent,1,6,1,417,tent_12s.jpg
636,thermometer,1,4,1,282,thermometer_12s.jpg
637,thermos,1,7,1,512,thermos_12s.jpg
638,thermostat,1,6,1,469,thermostat_12s.jpg
639,thimble,1,9,1,678,thimble_12s.jpg
640,thumbtack,1,7,1,537,thumbtack_12s.jpg
641,tiara,1,8,1,647,tiara_12s.jpg
642,tie,1,9,1,717,tie_12s.jpg
643,tiger,1,3,1,181,tiger_12n.jpg
644,tiramisu,1,6,1,478,tiramisu_12s.jpg
645,toast,1,8,1,602,toast_12s.jpg
646,toaster,1,10,1,803,toaster_12s.jpg
647,toilet,1,2,1,136,toilet_12s.jpg
648,toilet_paper,1,4,1,308,toilet_paper_12s.jpg
649,tomato,1,4,1,267,tomato_12s.jpg
650,tongs,1,5,1,368,tongs_12s.jpg
651,tongue,1,4,1,268,tongue_12s.jpg
652,toolbox,1,10,1,781,toolbox_12s.jpg
653,toothpick,1,9,1,712,toothpick_12s.jpg
654,tortilla,1,6,1,466,tortilla_12s.jpg
655,toucan,1,4,1,299,toucan_12s.jpg
656,touchpad,1,7,1,520,touchpad_12s.jpg
657,towel,1,2,1,131,towel_12s.jpg
658,towel_rack,1,2,1,144,towel_rack_12s.jpg
659,tractor,1,7,1,506,tractor_12s.jpg
660,train,1,7,1,532,train_12n.jpg
661,trap,1,2,1,97,trap_12s.jpg
662,trashcan,1,1,1,75,trashcan_12s.jpg
663,tray,1,3,1,226,tray_12s.jpg
664,treadmill,1,1,1,26,treadmill_12n.jpg
665,tree,1,3,1,188,tree_12s.jpg
666,tree_trunk,1,10,1,768,tree_trunk_12s.jpg
667,trowel,1,5,1,340,trowel_12s.jpg
668,truck,1,7,1,554,truck_12s.jpg
669,trumpet,1,3,1,223,trumpet_12s.jpg
670,tumbleweed,1,3,1,194,tumbleweed_12s.jpg
671,turtle,1,6,1,440,turtle_12s.jpg
672,tuxedo,1,5,1,403,tuxedo_12s.jpg
673,tweezers,1,5,1,405,tweezers_12s.jpg
674,typewriter,1,8,1,624,typewriter_12s.jpg
675,ukulele,1,1,1,20,ukulele_12s.jpg
676,umbrella,1,4,1,256,umbrella_12s.jpg
677,undershirt,1,2,1,157,undershirt_12s.jpg
678,uniform,1,6,1,423,uniform_12s.jpg
679,urinal,1,2,1,102,urinal_12s.jpg
680,valve,1,4,1,276,valve_12s.jpg
681,vase,1,5,1,401,vase_12n.jpg
682,velcro,1,6,1,421,velcro_12s.jpg
683,videocassette,1,1,1,16,videocassette_12n.jpg
684,viewfinder,1,4,1,303,viewfinder_12s.jpg
685,violin,1,7,1,538,violin_12n.jpg
686,waffle_iron,1,9,1,663,waffle_iron_12s.jpg
687,walker1,1,5,1,350,walker1_12s.jpg
688,wall,1,10,1,770,wall_12s.jpg
689,wallet,1,4,1,313,wallet_12s.jpg
690,wallpaper,1,2,1,153,wallpaper_12s.jpg
691,walnut,1,2,1,134,walnut_12n.jpg
692,walrus,1,5,1,373,walrus_12s.jpg
693,wand,1,9,1,657,wand_12s.jpg
694,warthog,1,9,1,671,warthog_12s.jpg
695,washboard,1,1,1,43,washboard_12s.jpg
696,wasp,1,8,1,618,wasp_12s.jpg
697,watch,1,3,1,201,watch_12s.jpg
698,water_fountain,1,9,1,675,water_fountain_12s.jpg
699,weasel,1,6,1,458,weasel_12s.jpg
700,whale,1,8,1,650,whale_12s.jpg
701,wheat,1,9,1,656,wheat_12s.jpg
702,wheelbarrow,1,2,1,154,wheelbarrow_12s.jpg
703,wheelchair,1,1,1,15,wheelchair_12n.jpg
704,whip,1,2,1,113,whip_12s.jpg
705,whisk,1,5,1,400,whisk_12s.jpg
706,wig,1,1,1,34,wig_12s.jpg
707,windowsill,1,10,1,812,windowsill_12s.jpg
708,wine,1,2,1,90,wine_12s.jpg
709,wire,1,6,1,457,wire_12s.jpg
710,wire_cutters,1,10,1,740,wire_cutters_12s.jpg
711,wolf,1,7,1,501,wolf_12n.jpg
712,woman,1,3,1,218,woman_12s.jpg
713,wooden_leg,1,2,1,147,wooden_leg_12s.jpg
714,worm,1,4,1,289,worm_12s.jpg
715,wrapping_paper,1,7,1,503,wrapping_paper_12s.jpg
716,wrench,1,5,1,338,wrench_12n.jpg
717,yo-yo,1,2,1,155,yo-yo_12s.jpg
718,zebra,1,10,1,784,zebra_12s.jpg
719,zucchini,1,1,1,31,zucchini_12s.jpg
